bucket,size
0,3
1,5
2,2
3,6
4,5
5,4
6,2
7,4
8,4
9,3
10,1
11,7
12,2
13,0
14,4
15,2
16,3
17,4
18,3
19,1
20,1
21,3
22,7
23,2
24,4
25,5
26,1
27,5
28,4
29,3
30,4
31,10
32,6
33,3
34,5
35,3
36,4
37,3
38,6
39,0
40,2
41,3
42,2
43,3
44,1
45,3
46,3
47,6
48,2
49,5
50,7
51,3
52,5
53,4
54,6
55,3
56,3
57,6
58,5
59,3
60,2
61,2
62,1
63,1
64,3
65,4
66,3
67,4
68,2
69,1
70,3
71,4
72,3
73,5
74,5
75,2
76,8
77,6
78,4
79,3
80,5
81,6
82,1
83,1
84,3
85,6
86,6
87,4
88,7
89,5
90,4
91,0
92,1
93,3
94,1
95,1
96,5
97,4
98,2
99,4
100,6
101,3
102,4
103,6
104,3
105,4
106,5
107,4
108,5
109,4
110,2
111,4
112,3
113,5
114,3
115,3
116,4
117,7
118,7
119,4
120,5
121,2
122,6
123,4
124,7
125,4
126,2
127,3
128,3
129,1
130,6
131,4
132,4
133,6
134,2
135,2
136,4
137,7
138,5
139,6
140,5
141,9
142,10
143,0
144,2
145,5
146,4
147,3
148,3
149,3
150,3
151,8
152,3
153,2
154,1
155,2
156,5
157,7
158,6
159,4
160,4
161,2
162,6
163,1
164,4
165,3
166,7
167,2
168,4
169,7
170,3
171,2
172,4
173,5
174,5
175,3
176,2
177,2
178,5
179,5
180,2
181,2
182,5
183,4
184,6
185,4
186,2
187,1
188,0
189,5
190,5
191,3
192,2
193,5
194,5
195,3
196,1
197,3
198,10
199,2
200,3
201,5
202,5
203,4
204,2
205,2
206,6
207,5
208,6
209,4
210,6
211,1
212,4
213,5
214,7
215,1
216,9
217,2
218,2
219,5
220,5
221,4
222,1
223,2
224,4
225,4
226,5
227,1
228,7
229,3
230,6
231,5
232,1
233,3
234,6
235,5
236,5
237,8
238,5
239,3
240,2
241,0
242,10
243,4
244,3
245,5
246,2
247,7
248,2
249,7
250,1
251,3
252,3
253,2
254,4
255,5
256,2
257,7
258,5
259,3
260,7
261,4
