bucket,size
0,1
1,1
2,3
3,2
4,2
5,5
6,3
7,1
8,1
9,5
10,2
11,3
12,2
13,1
14,0
15,1
16,1
17,1
18,2
19,1
20,1
21,2
22,2
23,1
24,3
25,2
26,3
27,1
28,5
29,4
30,1
31,2
32,3
33,2
34,1
35,2
36,1
37,2
38,1
39,1
40,1
41,2
42,3
43,2
44,3
45,3
46,2
47,0
48,3
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,2
63,4
64,0
65,1
66,0
67,3
68,1
69,0
70,0
71,1
72,1
73,3
74,1
75,3
76,2
77,1
78,2
79,2
80,3
81,1
82,2
83,2
84,2
85,1
86,2
87,0
88,1
89,0
90,2
91,0
92,1
93,3
94,5
95,1
96,4
97,2
98,1
99,2
100,1
101,2
102,0
103,0
104,4
105,3
106,1
107,1
108,2
109,2
110,0
111,4
112,2
113,0
114,2
115,3
116,2
117,2
118,3
119,1
120,2
121,0
122,0
123,0
124,0
125,4
126,1
127,4
128,2
129,0
130,2
131,0
132,2
133,0
134,1
135,1
136,0
137,0
138,1
139,2
140,1
141,5
142,2
143,2
144,3
145,4
146,3
147,2
148,1
149,1
150,2
151,1
152,2
153,2
154,3
155,1
156,1
157,0
158,2
159,1
160,2
161,4
162,0
163,2
164,2
165,1
166,2
167,2
168,1
169,2
170,2
171,1
172,3
173,0
174,3
175,4
176,1
177,0
178,4
179,1
180,0
181,3
182,1
183,1
184,1
185,0
186,0
187,2
188,1
189,2
190,1
191,1
192,3
193,1
194,2
195,1
196,1
197,2
198,1
199,0
200,0
201,2
202,3
203,2
204,0
205,0
206,2
207,1
208,0
209,0
210,1
211,1
212,0
213,1
214,3
215,2
216,1
217,5
218,2
219,0
220,2
221,0
222,1
223,1
224,1
225,2
226,1
227,0
228,0
229,2
230,3
231,0
232,2
233,0
234,3
235,2
236,1
237,2
238,3
239,3
240,0
241,2
242,3
243,1
244,0
245,2
246,0
247,0
248,0
249,2
250,2
251,2
252,0
253,1
254,1
255,4
256,1
257,2
258,1
259,1
260,1
261,2
262,1
263,2
264,1
265,1
266,6
267,2
268,2
269,2
270,4
271,3
272,1
273,0
274,3
275,3
276,1
277,4
278,3
279,1
280,2
281,2
282,2
283,0
284,1
285,1
286,0
287,0
288,2
289,2
290,0
291,1
292,1
293,2
294,0
295,1
296,4
297,2
298,3
299,3
300,1
301,2
302,1
303,1
304,2
305,2
306,0
307,3
308,0
309,1
310,4
311,2
312,2
313,2
314,0
315,1
316,1
317,3
318,1
319,1
320,1
321,1
322,4
323,2
324,1
325,1
326,0
327,0
328,4
329,0
330,3
331,0
332,1
333,1
334,0
335,2
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,4
345,3
346,0
347,1
348,1
349,1
350,1
351,1
352,2
353,1
354,2
355,2
356,4
357,1
358,0
359,2
360,1
361,1
362,1
363,0
364,0
365,2
366,1
367,0
368,2
369,0
370,2
371,2
372,1
373,2
374,1
375,0
376,1
377,1
378,2
379,2
380,1
381,1
382,2
383,1
384,2
385,3
386,2
387,2
388,2
389,1
390,1
391,3
392,2
393,3
394,0
395,2
396,0
397,2
398,4
399,1
400,1
401,2
402,5
403,1
404,3
405,3
406,1
407,5
408,0
409,1
410,1
411,2
412,4
413,1
414,1
415,2
416,1
417,2
418,1
419,3
420,1
421,0
422,3
423,1
424,1
425,3
426,0
427,0
428,1
429,1
430,4
431,1
432,1
433,2
434,1
435,2
436,2
437,0
438,0
439,4
440,0
441,2
442,3
443,2
444,2
445,0
446,1
447,1
448,2
449,2
450,1
451,1
452,4
453,1
454,1
455,1
456,2
457,1
458,2
459,1
460,1
461,2
462,0
463,2
464,1
465,1
466,0
467,2
468,2
469,2
470,0
471,0
472,3
473,0
474,1
475,2
476,4
477,1
478,0
479,0
480,4
481,2
482,0
483,3
484,2
485,6
486,2
487,2
488,1
489,1
490,1
491,2
492,0
493,0
494,2
495,2
496,3
497,1
498,1
499,2
500,2
501,2
502,1
503,2
504,0
505,1
506,1
507,5
508,1
509,2
510,1
511,1
512,2
513,3
514,4
515,0
516,3
517,3
518,2
519,1
520,0
521,0
522,2
523,1
524,4
525,4
526,2
527,2
528,2
529,3
530,0
531,2
532,2
533,1
534,1
535,3
536,2
537,5
538,2
539,1
540,1
541,0
542,3
543,3
544,2
545,2
546,0
547,1
548,3
549,4
550,2
551,1
552,2
553,1
554,5
555,1
556,1
557,0
558,2
559,1
560,2
561,0
562,1
563,1
564,0
565,1
566,1
567,3
568,1
569,3
570,1
571,1
572,2
573,2
574,1
575,1
576,2
577,2
578,1
579,1
580,2
581,5
582,1
583,4
584,0
585,1
586,2
587,1
588,4
589,1
590,3
591,0
592,0
593,1
594,4
595,2
596,1
597,3
598,2
599,1
600,2
601,2
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,1
611,0
612,1
613,1
614,2
615,0
616,3
617,0
618,1
619,3
620,1
621,2
622,3
623,0
624,2
625,3
626,2
627,2
628,2
629,1
630,0
631,2
632,2
633,0
634,2
635,0
636,1
637,0
638,4
639,1
640,2
641,3
642,3
643,2
644,0
645,3
646,2
647,2
648,1
649,0
650,0
651,2
652,1
653,1
654,0
655,1
656,2
657,0
658,1
659,1
660,2
661,1
662,1
663,1
664,1
665,0
666,2
667,1
668,1
669,1
670,1
671,2
672,0
673,2
674,1
675,1
676,1
677,0
678,2
679,1
680,0
681,3
682,2
683,2
684,1
685,1
686,1
687,2
688,2
689,1
690,1
691,1
692,1
693,3
694,3
695,1
696,0
697,1
698,2
699,3
700,0
701,2
702,2
703,0
704,1
705,1
706,4
707,1
708,2
709,1
710,2
711,0
712,1
713,0
714,1
715,2
716,1
717,1
718,0
719,2
720,3
721,0
722,1
723,3
724,1
725,1
726,1
727,0
728,2
729,2
730,1
731,0
732,1
733,2
734,3
735,0
736,1
737,1
738,3
739,3
740,2
741,2
742,1
743,2
744,0
745,4
746,3
747,2
748,2
749,6
750,0
751,1
752,0
753,0
754,3
755,0
756,0
757,2
758,0
759,2
760,0
761,0
762,2
763,0
764,1
765,2
766,1
767,1
768,2
769,0
770,2
771,0
772,4
773,2
774,2
775,3
776,0
777,2
778,0
779,2
780,4
781,2
782,0
783,0
784,0
785,1
786,2
787,1
788,0
789,3
790,3
791,0
792,1
793,4
794,1
795,2
796,2
797,0
798,1
799,1
800,0
801,1
802,2
803,4
804,1
805,4
806,0
807,4
808,1
809,4
810,3
811,4
