bucket,size
0,1
1,1
2,2
3,0
4,0
5,0
6,1
7,1
8,0
9,2
10,2
11,0
12,2
13,3
14,0
15,1
16,1
17,1
18,2
19,1
20,0
21,2
22,1
23,3
24,1
25,2
26,1
27,2
28,2
29,2
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,2
42,0
43,0
44,1
45,0
46,1
47,0
48,3
49,0
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,5
59,3
60,0
61,0
62,1
63,1
64,0
65,2
66,3
67,1
68,1
69,2
70,1
71,0
72,1
73,0
74,2
75,0
76,1
77,0
78,0
79,2
80,1
81,0
82,2
83,0
84,1
85,2
86,1
87,1
88,2
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,2
97,2
98,1
99,1
100,2
101,4
102,1
103,3
104,3
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,2
113,1
114,1
115,2
116,2
117,2
118,1
119,2
120,2
121,4
122,3
123,2
124,1
125,1
126,0
127,2
128,3
129,8
130,0
131,2
132,1
133,3
134,3
135,3
136,1
137,4
138,2
139,2
140,1
141,5
142,3
143,4
144,2
145,4
146,3
147,2
148,0
149,2
150,1
151,2
152,2
153,2
154,5
155,1
156,4
157,4
158,2
159,2
160,4
161,6
162,6
163,5
164,3
165,3
166,4
167,2
168,3
169,5
170,5
171,2
172,3
173,5
174,4
175,3
176,2
177,7
178,4
179,4
180,4
181,10
182,5
183,3
184,6
185,6
186,3
187,2
188,6
189,7
190,5
191,3
192,0
193,1
194,2
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,2
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,2
214,2
215,2
216,0
217,1
218,4
219,1
220,1
221,2
222,1
223,2
224,2
225,0
226,1
227,0
228,0
229,2
230,2
231,3
232,0
233,0
234,0
235,0
236,2
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,2
249,2
250,2
251,0
252,1
253,3
254,2
255,1
256,2
257,7
258,9
259,5
260,8
261,6
262,7
263,10
264,4
265,10
266,11
267,5
268,2
269,7
270,5
271,5
272,8
273,5
274,6
275,3
276,11
277,6
278,10
279,1
280,7
281,4
282,6
283,5
284,7
285,10
286,3
287,7
288,7
289,5
290,7
291,6
292,7
293,10
294,9
295,6
296,6
297,8
298,1
299,3
300,10
301,7
302,10
303,6
304,4
305,5
306,11
307,5
308,9
309,4
310,7
311,5
312,9
313,6
314,8
315,2
316,9
317,4
318,9
319,5
320,2
321,5
322,1
323,2
324,1
325,6
326,0
327,2
328,2
329,2
330,1
331,5
332,3
333,1
334,1
335,2
336,2
337,3
338,1
339,3
340,3
341,4
342,4
343,3
344,3
345,1
346,4
347,5
348,1
349,7
350,2
351,2
352,7
353,6
354,5
355,8
356,5
357,7
358,11
359,6
360,4
361,4
362,8
363,7
364,8
365,5
366,4
367,5
368,5
369,6
370,6
371,3
372,6
373,9
374,6
375,6
376,3
377,10
378,6
379,4
380,3
381,4
382,6
383,3
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,2
392,0
393,0
394,0
395,1
396,1
397,0
398,2
399,0
400,0
401,2
402,2
403,1
404,3
405,2
406,0
407,0
408,0
409,1
410,1
411,2
412,0
413,2
414,0
415,1
416,0
417,2
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,2
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,2
446,0
447,0
448,1
449,0
450,0
451,2
452,1
453,1
454,3
455,1
456,1
457,1
458,0
459,0
460,2
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,3
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,2
486,1
487,0
488,0
489,2
490,1
491,0
492,1
493,1
494,2
495,2
496,0
497,3
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,1
506,3
507,0
508,2
509,0
510,0
511,2
512,5
513,3
514,3
515,7
516,8
517,8
518,6
519,2
520,6
521,11
522,13
523,6
524,7
525,7
526,9
527,6
528,9
529,6
530,9
531,8
532,8
533,8
534,4
535,4
536,6
537,13
538,10
539,8
540,9
541,8
542,5
543,8
544,5
545,6
546,5
547,9
548,4
549,8
550,7
551,3
552,8
553,12
554,7
555,6
556,6
557,8
558,10
559,11
560,6
561,8
562,6
563,4
564,9
565,10
566,4
567,3
568,3
569,8
570,5
571,6
572,4
573,13
574,5
575,9
576,8
577,10
578,11
579,7
580,13
581,2
582,6
583,9
584,7
585,14
586,7
587,5
588,10
589,9
590,4
591,9
592,13
593,8
594,14
595,6
596,10
597,11
598,5
599,5
600,5
601,9
602,6
603,3
604,8
605,9
606,4
607,8
608,5
609,8
610,6
611,6
612,9
613,10
614,4
615,6
616,9
617,11
618,7
619,5
620,2
621,8
622,10
623,4
624,5
625,8
626,6
627,7
628,7
629,5
630,8
631,10
632,6
633,14
634,10
635,4
636,8
637,7
638,5
639,8
640,6
641,7
642,8
643,6
644,11
645,9
646,5
647,4
648,5
649,9
650,9
651,7
652,6
653,2
654,6
655,8
656,8
657,5
658,6
659,6
660,10
661,10
662,10
663,10
664,5
665,13
666,12
667,6
668,13
669,7
670,2
671,4
672,5
673,5
674,8
675,6
676,11
677,13
678,7
679,9
680,7
681,10
682,5
683,6
684,11
685,5
686,5
687,8
688,7
689,9
690,5
691,9
692,7
693,9
694,9
695,8
696,7
697,7
698,9
699,3
700,6
701,12
702,6
703,7
704,3
705,3
706,2
707,3
708,0
709,2
710,2
711,3
712,4
713,1
714,4
715,3
716,5
717,3
718,4
719,3
720,3
721,2
722,2
723,2
724,1
725,4
726,3
727,2
728,1
729,1
730,4
731,0
732,4
733,3
734,2
735,3
736,4
737,4
738,3
739,1
740,1
741,1
742,2
743,3
744,3
745,4
746,4
747,3
748,3
749,1
750,2
751,2
752,2
753,3
754,2
755,4
756,1
757,1
758,4
759,3
760,3
761,3
762,2
763,7
764,2
765,1
766,3
767,2
768,1
769,0
770,2
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,0
784,2
785,0
786,1
787,2
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,1
801,2
802,0
803,0
804,1
805,2
806,0
807,0
808,0
809,0
810,0
811,0
